Author,Genre,Pages,Score,Title,Year
Kim Stanley Robinson,"Fiction,Historical,Historical Fiction,Science Fiction,Fantasy,Historical",452,3.68,Shaman,2013
Richard J.B. Bosworth,"Biography,History,Politics,History,European History,Cultural,Italy,Nonfiction",584,3.77,Mussolini,2002
C.S. Woolley,,264,4.35,Rising Empire: Part 1,2013
Alex Archer,"Fantasy,Fantasy,Urban Fantasy,Adventure,Fiction,Action",314,3.86,Gabriel's Horn,2008
José Rodrigues dos Santos,"Romance,European Literature,Portuguese Literature,Historical,Historical Fiction,Historical",504,4.02,O Homem de Constantinopla,2013
Michael Sears,"Mystery,Fiction,Thriller,Mystery,Crime,Suspense",352,3.83,Mortal Bonds,2013
Nora Roberts,"Romance,Fantasy,Fantasy,Paranormal,Fiction,Romance,Paranormal Romance,Fantasy,Magic,Paranormal,Witches,Romance,Contemporary Romance,Contemporary,Cultural,Ireland",319,4.04,Shadow Spell,2014
Kira Cochrane,"Feminism,Nonfiction,Feminism,Womens Studies,Writing,Essays,Politics,Audiobook,Philosophy,History,Contemporary",71,3.92,All the Rebel Women: The Rise of the Fourth Wave of Feminism (Guardian Shorts),2013
Paige Toon,"Womens Fiction,Chick Lit,Romance,Contemporary,Fiction",390,3.95,Lucy in the Sky,2007
Joshua Muravchik,Nonfiction,350,4.11,The Next Founders: Voices of Democracy in the Middle East,2009
Nick Mason,"Music,Biography,Nonfiction,Biography,Autobiography",360,4.1,Inside Out: A Personal History of Pink Floyd,2005
Jan Karon,"Fiction,Christian Fiction,Christian",356,4.15,Home to Holly Springs,2007
Randal W. Beard,"Nonfiction,Textbooks,Reference,Research",300,4,Small Unmanned Aircraft: Theory and Practice,2012
Ken Follett,"Historical,Historical Fiction,Fiction,Historical",1098,4.12,Edge of Eternity,2014
Gordon Dahlquist,"Young Adult,Science Fiction,Science Fiction,Dystopia,Fantasy",240,2.9,The Different Girl,2013
Cathy Cassidy,"Contemporary,Romance,Young Adult,Childrens,Middle Grade",224,3.97,Angel Cake,2009
Lynsay Sands,"Romance,Historical Romance,Romance,Historical,Historical,Historical Fiction,Historical,Regency",370,3.69,The Heiress,2011
Annelies Verbeke,"Fiction,European Literature,Dutch Literature",160,3.15,Slaap!,2003
Cassandra Clare,"Fantasy,Young Adult,Romance",1520,4.67,Clockwork Angel; Clockwork Prince; Clockwork Princess,2013
Evan Wright,"Nonfiction,War,Military Fiction,History,War,Military,Military History",384,4.27,"Generation Kill: Devil Dogs, Iceman, Captain America, and the New Face of American War",2005
Tracey Porter,"Young Adult,Contemporary,Fiction,Paranormal,Ghosts,Realistic Fiction",192,3.4,Lark,2011
Liao Yiwu,"Cultural,China,Nonfiction,Autobiography,Memoir,Poetry,History,Biography,Biography Memoir",432,4.01,For a Song and a Hundred Songs: A Poet's Journey Through a Chinese Prison,2013
Nicole Galland,"Historical,Historical Fiction,Fiction,Retellings,Cultural,Italy,Historical",370,3.81,"I, Iago",2012
Susan Sontag,"Nonfiction,Biography,Autobiography,Memoir,Diary,Journal,Diary,Biography Memoir",318,3.98,"Reborn: Journals and Notebooks, 1947-1963",2008
Kevin Powers,"Fiction,War,Historical,Historical Fiction,War,Military Fiction,Literary Fiction",226,3.75,The Yellow Birds,2012
