Author,Genre,Pages,Score,Title,Year
Don DeLillo,"Fiction,Novels,Literature,American,Literature",117,3.44,Point Omega,2010
Edward Carey,"Fiction,Gothic,Fantasy,Contemporary",368,3.93,Observatory Mansions,2002
Nicholas Evans,"Fiction,Mystery,Romance",512,3.73,The Divide,2007
Frank Miller,"Sequential Art,Comics,Sequential Art,Graphic Novels,Dc Comics,Batman,Superheroes,Dc Comics,Fiction,Comics,Comic Book,Graphic Novels Comics,Comics,Superheroes,Sequential Art,Comix,Science Fiction",248,3.21,Batman: The Dark Knight Strikes Again,2004
Richard B. Wright,"Fiction,Cultural,Canada,Historical,Historical Fiction",432,3.87,Clara Callan,2002
Lisa Gardner,"Mystery,Thriller,Fiction,Suspense,Mystery,Crime",451,4.19,Gone,2006
Robert Jackson Bennett,"Fantasy,Fiction,Mystery,Fantasy,Urban Fantasy,Science Fiction",452,4.11,City of Stairs,2014
Mark  Lawrence,"Fantasy,Fiction,Fantasy,Epic Fantasy,Science Fiction",434,4.26,Emperor of Thorns,2013
Terri Blackstock,"Christian Fiction,Christian,Fiction,Mystery,Suspense",324,4.16,Intervention,2009
Steven Pinker,"Nonfiction,History,Psychology,Science,Philosophy,Sociology",802,4.17,The Better Angels of Our Nature: Why Violence Has Declined,2011
Brian Selznick,"Historical,Historical Fiction,Fiction,Young Adult,Childrens,Middle Grade,Sequential Art,Graphic Novels,Childrens",640,4.17,Wonderstruck,2011
Josh Kilmer-Purcell,"Autobiography,Memoir,Nonfiction,LGBT,Humor,Biography",305,3.97,I Am Not Myself These Days,2006
Mark  Lawrence,"Fantasy,Fiction,Fantasy,Dark Fantasy,Fantasy,Epic Fantasy,Fantasy,High Fantasy",373,3.86,Prince of Thorns,2011
Peter Godwin,"Cultural,Africa,Nonfiction,Autobiography,Memoir,History,Biography,Eastern Africa,Zimbabwe",344,4.15,When a Crocodile Eats the Sun: A Memoir of Africa,2007
I.H. Smythe,,152,5,Poetry for Animals,2011
Will Storr,"Nonfiction,Fantasy,Paranormal,Paranormal,Ghosts,Horror,Humor,Science",322,3.93,Will Storr vs. The Supernatural: One Man's Search for the Truth About Ghosts,2006
Bella Andre,"Romance,Romance,Contemporary Romance,Contemporary",384,4.21,I Only Have Eyes for You,2012
John Scalzi,"Science Fiction,Fiction,Space,Space Opera",320,4.06,The Last Colony,2007
Karen Marie Moning,"Fantasy,Urban Fantasy,Fantasy,Fantasy,Paranormal,Romance,Romance,Paranormal Romance,Fairies,Fae,Adult,Fiction,Fantasy,Magic,Fantasy,Supernatural",608,4.41,Shadowfever,2011
Louise Erdrich,"Fiction,Historical,Historical Fiction,Historical,Literary Fiction,Book Club",416,4.05,The Master Butchers Singing Club,2016
Rebecca Reisert,"Historical,Historical Fiction,Fiction,Fantasy,Cultural,Scotland,Young Adult,Historical,Paranormal,Witches",336,3.74,The Third Witch,2002
Hidenori Kusaka,"Sequential Art,Manga,Sequential Art,Comics,Fiction,Fantasy",203,4.47,The Best of Pokémon Adventures: Red,2006
Michelle Obama,"Nonfiction,Autobiography,Memoir,Biography,Audiobook",426,4.55,Becoming,2018
David   Epstein,"Nonfiction,Sports,Sports,Science,Health,Sports,Fitness",338,4.19,The Sports Gene: Inside the Science of Extraordinary Athletic Performance,2013
Curtis Sittenfeld,"Fiction,Young Adult,Womens Fiction,Chick Lit,Contemporary,Young Adult,Coming Of Age,School Stories,Boarding School,Adult Fiction,Adult,Novels,Realistic Fiction",420,3.39,Prep,2005
S.C. Stephens,"Romance,New Adult,Contemporary,Romance,Contemporary Romance",487,4.36,Effortless,2013
Kelley Armstrong,"Fantasy,Urban Fantasy,Fantasy,Paranormal,Fantasy,Shapeshifters,Werewolves,Romance,Romance,Paranormal Romance",468,4.15,Stolen,2004
Kathy Reichs,"Mystery,Fiction,Mystery,Crime,Thriller",310,3.93,Bones to Ashes,2007
Kate Quinn,"Historical,Historical Fiction,Historical,Fiction,Romance",385,4.05,Daughters of Rome,2011
Stacey O'Brien,"Nonfiction,Animals,Autobiography,Memoir,Environment,Nature,Science,Biography",230,4.1,Wesley the Owl: The Remarkable Love Story of an Owl and His Girl,2008
Jane Gardam,"Fiction,Historical,Historical Fiction,European Literature,British Literature,Literary Fiction",290,3.94,Old Filth,2006
Maryrose Wood,"Mystery,Childrens,Middle Grade,Historical,Historical Fiction,Fiction,Childrens,Fantasy",313,4.06,The Hidden Gallery,2011
Eva Ibbotson,"Historical,Historical Fiction,Adventure,Young Adult,Childrens,Fiction",304,4.18,Journey to the River Sea,2003
Anna Godbersen,"Historical,Historical Fiction,Young Adult,Romance,Historical",433,3.63,The Luxe,2007
James Patterson,"Mystery,Fiction,Thriller",374,3.53,You've Been Warned,2007
Suki Kim,"Nonfiction,Autobiography,Memoir,History,Cultural,Asia",291,3.9,"Without You, There Is No Us: My Time with the Sons of North Korea's Elite",2014
John  Stephens,"Fantasy,Childrens,Middle Grade,Adventure,Young Adult,Fiction",437,4.24,The Fire Chronicle,2012
Jennifer Estep,"Young Adult,Fantasy,Fantasy,Mythology,Fantasy,Paranormal,Fantasy,Urban Fantasy,Fantasy,Magic",350,3.95,Touch of Frost,2011
Marissa Meyer,"Young Adult,Fantasy,Science Fiction,Romance",454,4.28,Scarlet,2013
Patricia C. Wrede,"Fantasy,Young Adult,Fantasy,Magic,Fiction,Historical,Historical Fiction",344,3.8,Thirteenth Child,2009
Jim Butcher,"Fantasy,Fantasy,Urban Fantasy,Fiction,Mystery,Fantasy,Paranormal,Fantasy,Magic",446,4.29,Summer Knight,2002
Douglas Coupland,"Fiction,Cultural,Canada,Contemporary",272,3.65,Eleanor Rigby,2006
Sandra Kring,"Fiction,Historical,Historical Fiction,Young Adult,Coming Of Age",288,4.1,Carry Me Home,2004
Steve  Olson,"Science,History,Nonfiction,Anthropology,Biology,Genetics,Biology,Evolution,Science,Biology",304,3.93,Mapping Human History: Discovering the Past Through Our Genes,2002
J.R. Ward,"Romance,Fantasy,Paranormal,Romance,Paranormal Romance,Paranormal,Vampires,Fantasy",480,4.3,Lover Revealed,2007
Kate Quinn,"Historical,Historical Fiction,Fiction,Historical,Audiobook,War,World War II",503,4.28,The Alice Network,2017
Dmitry Glukhovsky,"Science Fiction,Fiction,Horror,Apocalyptic,Post Apocalyptic,Science Fiction,Dystopia",764,3.99,Metro 2033,2008
Timothy J. Keller,"Christian,Religion,Theology,Nonfiction,Religion,Christianity,Religion,Religion,Faith",293,4.18,The Reason for God: Belief in an Age of Skepticism,2008
Anouk Markovits,"Fiction,Historical,Historical Fiction,Religion,Literature,Jewish,Historical,Religion,Judaism",302,3.68,I am Forbidden,2012
Imre Kertész,"Fiction,Nobel Prize,European Literature,Hungarian Literature,Cultural,Hungary,World War II,Holocaust,Novels",130,3.78,Liquidation,2005
Alex Flinn,"Fantasy,Young Adult,Fantasy,Fairy Tales,Romance,Retellings",341,3.65,Cloaked,2011
Spiro Dimolianis,"History,Nonfiction,Crime,True Crime,Mystery,Crime",236,3.69,"Jack the Ripper and Black Magic: Victorian Conspiracy Theories, Secret Societies and the Supernatural Mystique of the Whitechapel Murders",2011
Rebecca Solnit,"Nonfiction,Writing,Essays,Autobiography,Memoir,Biography,Language,Writing",259,4.2,The Faraway Nearby,2013
Eddie Guerrero,"Biography,Nonfiction,Sports,Sports",345,4.16,"Cheating Death, Stealing Life: The Eddie Guerrero Story",2005
Dalai Lama XIV,"Nonfiction,Science,Religion,Buddhism,Philosophy,Spirituality,Religion",224,4.05,The Universe in a Single Atom: The Convergence of Science and Spirituality,2006
NoViolet Bulawayo,"Fiction,Cultural,Africa,Eastern Africa,Zimbabwe,Contemporary,Literary Fiction",298,3.73,We Need New Names,2013
Esther Earl,"Nonfiction,Autobiography,Memoir,Biography,Biography Memoir,Biography,Autobiography,Young Adult,Teen,Contemporary,Family,Health,Illness,Death",431,4.17,This Star Won't Go Out: The Life and Words of Esther Grace Earl,2014
Megan Whalen Turner,"Fantasy,Young Adult,Fiction,Adventure",316,4.1,A Conspiracy of Kings,2010
Randal Keynes,"Biography,Nonfiction,Science,History,Biology,Evolution",464,3.84,"Darwin, His Daughter, and Human Evolution",2002
Joseph Delaney,"Fantasy,Young Adult,Horror,Fiction",400,4.18,The Spook's Nightmare,2010
تميم البرغوثي,Poetry,132,4.3,في القدس,2009
Stefan Merrill Block,"Fiction,Family,Contemporary",320,3.66,The Story of Forgetting,2008
William Kamkwamba,"Nonfiction,Cultural,Africa,Autobiography,Memoir,Biography,Science",270,4.11,The Boy Who Harnessed the Wind: Creating Currents of Electricity and Hope,2009
David Klass,"Young Adult,Fiction,Realistic Fiction,Sociology,Abuse",352,3.89,You Don't Know Me,2002
Monica Ali,"Fiction,Cultural,India",432,3.41,Brick Lane,2004
Michelle Paver,"Fantasy,Young Adult,Adventure,Fiction,Historical,Historical Fiction",295,4.17,Wolf Brother,2006
Marissa Meyer,"Young Adult,Fantasy,Science Fiction,Romance,Science Fiction,Dystopia",552,4.44,Cress,2014
Kate Mosse,"Historical,Historical Fiction,Fiction,Historical,Fantasy",696,3.94,Citadel,2012
David Liss,"Historical,Historical Fiction,Fiction,Historical,Mystery",384,3.74,The Coffee Trader,2004
Amy Waldman,"Fiction,Contemporary,Historical,Historical Fiction,New York,Adult,Literary Fiction,Religion,Adult Fiction,Book Club,Novels",300,3.67,The Submission,2011
John Sandford,"Mystery,Fiction,Thriller",424,4.23,Mortal Prey,2003
Hidenori Kusaka,"Sequential Art,Manga,Sequential Art,Comics,Fantasy,Sequential Art,Graphic Novels",216,4.39,"Pokémon Adventures, Vol. 4",2009
Steven Erikson,"Fantasy,Fantasy,Epic Fantasy,Fiction,Fantasy,High Fantasy",928,4.37,Reaper's Gale,2007
Stephen King,"Fiction,Thriller,Horror,Mystery,Mystery,Crime",434,4.04,Finders Keepers,2015
Victoria Aveyard,"Fantasy,Young Adult,Science Fiction,Dystopia",528,4,King's Cage,2017
Jeffrey Archer,"Fiction,Historical,Historical Fiction",352,4.06,The Sins of the Father,2012
Marisa de los Santos,"Fiction,Womens Fiction,Chick Lit,Romance,Contemporary",360,3.57,Falling Together,2011
Gregory Cochran,"Science,Nonfiction,Biology,Evolution,History,Anthropology,Science,Biology,Biology,Genetics",288,3.94,"The 10,000 Year Explosion: How Civilization Accelerated Human Evolution",2009
Calvin Trillin,"Autobiography,Memoir,Nonfiction,Biography,Biography Memoir",96,4.01,About Alice,2006
Janet Evanovich,"Mystery,Fiction,Humor,Womens Fiction,Chick Lit,Romance",308,4,Finger Lickin' Fifteen,2009
Janet Evanovich,"Mystery,Fiction,Humor,Womens Fiction,Chick Lit,Romance,Mystery,Crime,Humor,Comedy,Thriller,Mystery Thriller,Contemporary,Adult",310,4.09,Lean Mean Thirteen,2007
Kirk Varnedoe,"Art,Art,Art History,Nonfiction,Reference",297,4.24,Pictures of Nothing: Abstract Art Since Pollock,2006
Harry G. Frankfurt,"Philosophy,Nonfiction,Writing,Essays,Humor,Humanities,Language",67,3.57,On Bullshit,2005
C.J. Sansom,"Historical,Historical Fiction,Mystery,Fiction,Historical,Mystery,Crime,Mystery,Historical Mystery",642,4.4,Lamentation,2014
Ken Follett,"Historical,Historical Fiction,Fiction,Thriller,War,War,World War II",518,3.89,Hornet Flight,2003
Anne-Marie  O'Connor,"Nonfiction,Art,History,Art,Art History,Biography,War,World War II",370,3.96,"The Lady in Gold: The Extraordinary Tale of Gustav Klimt's Masterpiece, Portrait of Adele Bloch-Bauer",2012
Chris Kyle,"Nonfiction,Biography,War,Military Fiction,War,History,Autobiography,Memoir",528,4,American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,2012
Al Franken,"Nonfiction,Politics,Humor,Humor,Comedy",448,3.82,Lies and the Lying Liars Who Tell Them,2003
Roland Merullo,"Fiction,Religion,Buddhism,Spirituality,Philosophy",323,3.85,Breakfast with Buddha,2007
Lene Kaaberbøl,"Mystery,Fiction,Thriller,Mystery,Crime,Thriller,Mystery Thriller",313,3.61,The Boy in the Suitcase,2011
Neil Strauss,"Music,Nonfiction,Biography,Autobiography,Memoir",431,4.16,The Dirt: Confessions of the World's Most Notorious Rock Band,2002
Michael Nield,,201,4.63,The Police State Road Map,2005
Spencer Quinn,"Mystery,Fiction,Animals,Animals,Dogs,Humor",305,3.86,Dog on It,2009
Ha Jin,"Fiction,Cultural,China,Historical,Historical Fiction,War,Cultural,Asia",368,3.79,War Trash,2005
Terry Pratchett,"Fantasy,Fiction,Humor",417,3.99,Unseen Academicals,2009
Eoin Colfer,"Fantasy,Young Adult,Fiction",398,3.95,The Arctic Incident,2004
Scott Snyder,"Sequential Art,Comics,Sequential Art,Graphic Novels,Dc Comics,Batman,Superheroes,Dc Comics,Comics,Comic Book",176,4.32,"Batman, Volume 1: The Court of Owls",2012
Stephanie Dray,"Historical,Historical Fiction,Historical,Northern Africa,Egypt,Fantasy,Fiction",398,3.97,Song of the Nile,2011
Jared Diamond,"Nonfiction,History,Anthropology,Science,Sociology,Cultural,Politics,Social Science,History,World History,Biology,Evolution",512,3.73,The World Until Yesterday: What Can We Learn from Traditional Societies?,2012
Jeanette Winterson,"Fiction,Science Fiction,LGBT,Science Fiction,Dystopia,Fantasy",207,3.68,The Stone Gods,2008
Kate Horsley,"Historical,Historical Fiction,Fiction,Cultural,Ireland,Historical,Religion,Spirituality",191,3.88,Confessions of a Pagan Nun,2002
Eleanor Druse (Pseudonym),"Horror,Fiction,Mystery,Fantasy",272,3.57,The Journals of Eleanor Druse: My Investigation of the Kingdom Hospital Incident,2004
John Guy,"History,Nonfiction,Biography,Cultural,Scotland,Historical",581,3.93,Queen of Scots: The True Life of Mary Stuart,2004
Jonathan L. Howard,"Fantasy,Fiction,Horror,Science Fiction,Steampunk,Humor,Fantasy,Urban Fantasy",291,3.95,Johannes Cabal the Necromancer,2009
Lucian Bane,"Fantasy,Paranormal,Fantasy,Romance,Paranormal Romance,Paranormal,Angels,Romance,Fantasy Romance,Romance",107,4.21,The Turning,2014
Rachel Kushner,"Fiction,Historical,Historical Fiction,Novels,Literary Fiction,Art,Cultural,Italy,New York,Literature,Contemporary,Literature,American",383,3.48,The Flamethrowers,2013
Lisa O'Donnell,"Fiction,Young Adult,Contemporary,Young Adult,Coming Of Age",306,3.83,The Death of Bees,2013
Graham Joyce,"Fiction,Fantasy,Horror,Mystery,Fantasy,Paranormal,Thriller",262,3.63,The Silent Land,2011
Nora Ephron,"Nonfiction,Humor,Autobiography,Memoir,Writing,Essays",137,3.69,I Feel Bad About My Neck: And Other Thoughts on Being a Woman,2006
Ann Brashares,"Young Adult,Fiction,Womens Fiction,Chick Lit,Contemporary,Romance,Young Adult,Teen,Realistic Fiction,Young Adult,Coming Of Age,Childrens,Young Adult,Young Adult Contemporary",384,3.81,Forever in Blue: The Fourth Summer of the Sisterhood,2007
Steven Erikson,"Fantasy,Fantasy,Epic Fantasy,Fiction,Fantasy,High Fantasy,Epic,Fantasy,Dark Fantasy,Science Fiction Fantasy,War,Fantasy,Magic,War,Military Fiction",1021,4.33,House of Chains,2007
Mark Leyner,"Nonfiction,Humor,Science,Reference,Health,Medical,Health,Medicine,Reference,Trivia,Adult,Sports,Fitness",224,3.41,Why Do Men Have Nipples?: Hundreds of Questions You'd Only Ask a Doctor After Your Third Martini,2005
Leah Remini,"Nonfiction,Autobiography,Memoir,Biography,Audiobook,Religion,Biography,Autobiography,Biography Memoir,Religion,Cults,Adult,Humor",256,4.03,Troublemaker: Surviving Hollywood and Scientology,2015
Kate Morton,"Historical,Historical Fiction,Fiction,Mystery,Historical,Romance",484,4.14,The Secret Keeper,2012
Kathleen Winter,"Fiction,Cultural,Canada,LGBT,Contemporary,Historical,Historical Fiction,Gender,Adult Fiction,GLBT,Queer,Young Adult,Coming Of Age,Book Club",464,3.83,Annabel,2010
Alexandra Fuller,"Autobiography,Memoir,Nonfiction,Cultural,Africa,Biography",256,3.88,Cocktail Hour Under the Tree of Forgetfulness,2011
Richard  Holmes,"History,Science,Nonfiction,Biography,Science,History Of Science",380,3.96,The Age of Wonder: How the Romantic Generation Discovered the Beauty and Terror of Science,2009
Carolina De Robertis,"Fiction,Historical,Historical Fiction,Literary Fiction,Historical",384,3.97,The Invisible Mountain,2009
David Mamet,"Politics,Nonfiction,Cultural,History",241,3.89,The Secret Knowledge: On the Dismantling of American Culture,2011
Jacqueline Carey,"Fantasy,Romance,Fiction,Fantasy,Epic Fantasy,Adult Fiction,Erotica",678,4.3,Kushiel's Chosen,2003
Jennifer Haigh,"Fiction,Family,Adult Fiction,Contemporary",400,3.51,The Condition,2008
Maria V. Snyder,"Fantasy,Young Adult,Fantasy,Magic,Romance",379,4,Sea Glass,2009
Nathaniel Philbrick,"History,Nonfiction,North American Hi...,American History,Biography,Military History,American Revolution,War",427,4.08,"Valiant Ambition: George Washington, Benedict Arnold, and the Fate of the American Revolution",2016
Ernest Cline,"Science Fiction,Fiction,Young Adult,Audiobook",355,3.53,Armada,2015
Haruki Murakami,"Short Stories,Fiction,Cultural,Japan,Asian Literature,Japanese Literature",333,3.84,"Blind Willow, Sleeping Woman",2006
Dave Ramsey,"Nonfiction,Economics,Finance,Self Help,Finance,Personal Finance,Business,Currency,Money",229,4.28,The Total Money Makeover: A Proven Plan for Financial Fitness,2007
Robert   Harris,"Historical,Historical Fiction,Fiction,Thriller,Cultural,France,Historical,Mystery",429,4.17,An Officer and a Spy,2014
Bernard Cornwell,"Historical,Historical Fiction,Fiction,Historical",384,4.29,The Pale Horseman,2006
Lisa Ann Sandell,"Historical,Historical Fiction,Young Adult,Fantasy,Poetry,Romance,Historical,Fiction,Mythology,Arthurian,Retellings,Fantasy,Mythology",394,4.06,Song of the Sparrow,2007
John Sandford,"Mystery,Fiction,Thriller,Mystery,Crime",256,4.22,Naked Prey,2004
Roma Calatayud-Stocks,"Historical,Historical Fiction,Fiction",376,3.95,A Song in My Heart,2011
Conn Iggulden,"Historical,Historical Fiction,Fiction,Historical,War",518,4.35,Bones of the Hills,2008
Jack McDevitt,"Science Fiction,Fiction,Space,Space Opera",508,3.87,Deepsix,2002
Laila Lalami,"Fiction,Northern Africa,Morocco,Cultural,Africa,Contemporary",291,3.45,Secret Son,2009
Ann Aguirre,"Science Fiction,Dystopia,Young Adult,Horror,Zombies,Science Fiction",259,3.92,Enclave,2011
Mary Lawson,"Fiction,Cultural,Canada,Contemporary",324,3.88,Crow Lake,2003
Bernard Cornwell,"Historical,Historical Fiction,Fiction,Historical",317,4.34,Lords of the North,2007
Jonathan Tropper,"Fiction,Humor,Contemporary",338,3.96,The Book of Joe,2005
Iris Johansen,"Mystery,Thriller,Fiction,Suspense",12,3.95,What Doesn't Kill You,2012
Kelley Armstrong,"Fantasy,Urban Fantasy,Fantasy,Fantasy,Paranormal,Romance,Romance,Paranormal Romance",495,4.09,Haunted,2005
Joe Hill,"Sequential Art,Graphic Novels,Sequential Art,Comics,Horror,Fantasy,Fiction,Graphic Novels Comics",168,4.15,"Locke & Key, Vol. 1: Welcome to Lovecraft",2013
Tim Russert,"Nonfiction,Biography,Autobiography,Memoir,Biography,Autobiography",336,4.14,Big Russ and Me Father and Son: Lessons of Life,2004
John W. Dean,"Politics,Nonfiction,History,Psychology",288,3.97,Conservatives Without Conscience,2006
Ann Aguirre,"Science Fiction,Dystopia,Young Adult,Horror,Zombies,Apocalyptic,Post Apocalyptic",317,4.1,Outpost,2012
Leslie D. Stuart,"Romance,Romance,Contemporary Romance,Fiction,Womens Fiction,Chick Lit,Contemporary,Westerns,Business,Amazon",180,4.03,Roses in Winter: An Extraordinary Journey of Love,2015
Bernard Cornwell,"Historical,Historical Fiction,Fiction,Historical",336,4.3,Sword Song,2008
William  Boyd,"Fiction,Thriller,Mystery,Contemporary,Mystery,Crime",416,3.64,Ordinary Thunderstorms,2010
E.B. White,"Classics,Childrens,Fantasy,Fiction",0,4.24,Charlotte's Web/Stuart Little Slipcase Gift Set,2004
Czesław Miłosz,"Poetry,European Literature,Polish Literature,Cultural,Poland,Literature",800,4.35,New and Collected Poems: 1931-2001,2017
Neil Gaiman,"Sequential Art,Comics,Sequential Art,Graphic Novels,Dc Comics,Batman,Superheroes,Dc Comics,Graphic Novels Comics,Comics,Superheroes",128,3.98,Batman: Whatever Happened to the Caped Crusader?,2009
Pema Chödrön,"Religion,Buddhism,Nonfiction,Spirituality,Self Help,Philosophy,Religion",187,4.29,The Places That Scare You: A Guide to Fearlessness in Difficult Times,2007
Julia Gregson,"Historical,Historical Fiction,Fiction,Cultural,India,Historical,Romance",458,3.69,East of the Sun,2008
Donald Ray Pollock,"Fiction,Short Stories,Gothic,Southern Gothic,Contemporary",206,3.98,Knockemstiff,2008
Susan Crandall,"Historical,Historical Fiction,Fiction,Young Adult,Coming Of Age,Historical,Young Adult",307,4.05,Whistling Past the Graveyard,2013
Bernard Cornwell,"Historical,Historical Fiction,Fiction,Historical",335,4.3,Death of Kings,2011
Conn Iggulden,"Historical,Historical Fiction,Fiction,Historical,Historical,Medieval",482,3.88,Stormbird,2013
Chetan Bhagat,"Fiction,Romance",269,3.43,2 States: The Story of My Marriage,2009
Michio Kaku,"Science,Nonfiction,Science,Physics,Science,Popular Science,Science,Technology,Science,Astronomy,Science Fiction,Time Travel,Space,Audiobook,Reference",329,4.08,Physics of the Impossible,2008
Nora Roberts,"Romance,Romance,Romantic Suspense,Mystery,Fiction,Contemporary,Romance,Contemporary Romance,Suspense",472,4.12,Chasing Fire,2011
Nelson DeMille,"Fiction,Thriller,Mystery",880,4.02,Up Country,2003
Garth Nix,"Fantasy,Young Adult,Fiction",384,3.79,Mister Monday,2006
Edward Rutherfurd,"Historical,Historical Fiction,Fiction,Historical,New York",862,4.14,New York,2009
Susan Cheever,"History,Biography,Nonfiction,Biography Memoir",223,3.6,"American Bloomsbury: Louisa May Alcott, Ralph Waldo Emerson, Margaret Fuller, Nathaniel Hawthorne, and Henry David Thoreau: Their Lives, Their Loves, Their Work",2006
Slavenka Drakulić,"Nonfiction,History,War,Politics",192,4.17,They Would Never Hurt a Fly,2003
Delia Owens,"Fiction,Historical,Historical Fiction,Mystery",384,4.49,Where the Crawdads Sing,2018
Maggie Stiefvater,"Fantasy,Young Adult,Fantasy,Paranormal,LGBT",439,4.29,The Raven King,2016
Isabel Allende,"Historical,Historical Fiction,Fiction,Romance,Audiobook,Historical,Adult,War,World War II,Book Club,Literary Fiction,Novels",322,3.82,The Japanese Lover,2015
Claire Messud,"Fiction,Literary Fiction,Contemporary",272,3.31,The Woman Upstairs,2013
Kader Abdolah,"Fiction,Cultural,Iran,European Literature,Dutch Literature,Historical,Historical Fiction",412,4.04,Het huis van de moskee,2005
Nadeem Aslam,"Fiction,Historical,Historical Fiction,War,Contemporary",372,3.72,The Wasted Vigil,2008
Sophie Jordan,"Fantasy,Young Adult,Fantasy,Dragons,Romance,Fantasy,Paranormal",323,3.87,Firelight,2010
Jeaniene Frost,"Paranormal,Vampires,Fantasy,Paranormal,Fantasy,Urban Fantasy,Romance,Paranormal Romance,Romance,Fantasy",357,4.31,One Foot in the Grave,2008
Ali Smith,"Fiction,Contemporary,Literary Fiction",264,3.71,Autumn,2016
Michael Morpurgo,"War,Animals,Fiction,Historical,Historical Fiction,Childrens,Middle Grade,Childrens,Animals,Dogs",288,4.24,Shadow,2010
Guy Delisle,"Sequential Art,Graphic Novels,Sequential Art,Comics,Nonfiction,Travel,Autobiography,Memoir",192,3.92,Pyongyang: A Journey in North Korea,2007
Shannon Hale,"Fantasy,Young Adult,Fiction,Romance",317,3.98,Enna Burning,2006
Jennifer Donnelly,"Historical,Historical Fiction,Romance,Historical,Fiction,Romance,Historical Romance",736,4.31,The Winter Rose,2006
Robert Alexander,"Historical,Historical Fiction,Fiction,Cultural,Russia,Historical",229,3.9,The Kitchen Boy: A Novel of the Last Tsar,2004
Chloe Neill,"Fantasy,Urban Fantasy,Paranormal,Vampires,Fantasy,Paranormal,Fantasy,Romance,Romance,Paranormal Romance",350,4.16,Hard Bitten,2011
Simone Elkeles,"Young Adult,Romance,Contemporary,Realistic Fiction",336,4.2,Rules of Attraction,2010
Wayne Jacobsen,"Christian,Fiction,Spirituality,Religion,Religion,Christianity,Religion,Faith",178,4.03,So You Don't Want To Go To Church Anymore,2007
Liz Murray,"Nonfiction,Autobiography,Memoir,Biography,Biography,Autobiography",334,4.21,"Breaking Night: A Memoir of Forgiveness, Survival, and My Journey from Homeless to Harvard",2010
Michelle Moran,"Historical,Historical Fiction,Historical,Fiction,Northern Africa,Egypt,Romance",383,4.22,The Heretic Queen,2008
John Scalzi,"Science Fiction,Fiction,Audiobook",303,4.12,Fuzzy Nation,2011
Lisa Jackson,"Mystery,Thriller,Suspense,Romance,Romantic Suspense",496,4.04,Left To Die,2008
Thom Hartmann,"Politics,Nonfiction,History,Economics,Law,Social Issues,Sociology,Politics,Political Science,Business,Psychology",360,4.23,Unequal Protection: The Rise of Corporate Dominance and the Theft of Human Rights,2004
John Julius Norwich,"History,Nonfiction,Biography,History,European History,Cultural,France,European Literature,British Literature",304,3.78,"Four Princes: Henry VIII, Francis I, Charles V, Suleiman the Magnificent and the Obsessions that Forged Modern Europe",2017
John Piper,"Christian,Christian,Christian Living,Religion,Theology,Nonfiction,Religion,Christianity,Religion,Faith",191,4.11,Don't Waste Your Life,2003
Bernard Cornwell,"Historical,Historical Fiction,Fiction,Historical",336,4.31,The Burning Land,2009
Bella Andre,"Romance,Romance,Contemporary Romance,Contemporary",194,4.25,If You Were Mine,2012
Tananarive Due,"Horror,Fiction,Fantasy,Fantasy,Paranormal,Science Fiction",515,4.34,The Living Blood,2002
Kim Harrison,"Fantasy,Urban Fantasy,Fantasy,Fantasy,Paranormal,Paranormal,Vampires,Paranormal,Witches,Fantasy,Magic",501,4.29,Every Which Way But Dead,2005
John Green,"Young Adult,Fiction,Contemporary,Health,Mental Health",286,3.97,Turtles All the Way Down,2017
Lynsay Sands,"Romance,Historical Romance,Romance,Historical,Historical,Regency,Historical,Historical Fiction",347,3.8,The Husband Hunt,2012
Judith Schalansky,"Nonfiction,Travel,History,Science,Geography,Cartography,Maps,Art",144,4.26,Atlas of Remote Islands,2010
Tomás Eloy Martínez,"Literature,Fiction,Novels,Cultural,Latin American",296,3.62,El vuelo de la reina,2002
Stan Taylor,"Thriller,Science Fiction",374,4.04,Twisted Tears,2014
Howard Mohr,"Humor,Unfinished",288,3.66,How to Talk Minnesotan: Revised for the 21st Century,2013
Daniel Bellino-Zwicke,"Food and Drink,Cooking",202,3.95,Segreto Italiano: Secret Italian Recipes & Favorite Dishes ...... Italian Cookbook,2014
Monica  Murphy,"Romance,Contemporary,Romance,Contemporary Romance,Young Adult,Adult,Adult Fiction,Erotica,Realistic Fiction,Romance,Erotic Romance,Academic,College,Womens Fiction,Chick Lit",304,3.7,Three Broken Promises,2013
C.S. Woolley,,46,4.75,Filling the Afterlife from the Underworld: The Case of Mrs. Weldon,2014
Aki Ollikainen,"Fiction,Historical,Historical Fiction,European Literature,Finnish Literature,Historical",141,3.62,Nälkävuosi,2012
Jonathan Amaret,"Fantasy,Paranormal,Fantasy,Fiction",520,4.09,Rominus: The Initiation,2011
Katherine Addison,"Fantasy,Fiction,Science Fiction,Steampunk,Fantasy,High Fantasy",446,4.04,The Goblin Emperor,2014
Eben Alexander,"Nonfiction,Spirituality,Religion,Autobiography,Memoir,Biography,Science,Christian,Inspirational,Medical,Biography,Autobiography",196,3.7,Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,2012
Stewart O'Nan,"Fiction,Literary Fiction,Contemporary,Adult Fiction,Novels",146,3.55,Last Night at the Lobster,2007
Derek Landy,"Fantasy,Young Adult,Fantasy,Urban Fantasy,Fantasy,Magic",604,4.47,Mortal Coil,2010
